targetMolecule,localFile,sourceType,sheetOrPage,rowOrSection,exactMatchedValue,matchedTerm,matchType,atcCode,evidenceLevel,isPackBearing,parserSupported,warning
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,6,"Anagrelide sandoz kaps 0,5mg",anagrelide,name,,document_name,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,6,L01XX35,L01XX35,atc,L01XX35,document_atc,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,6,Anagrelid,anagrelid,name,,document_name,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,7,L01XX35,L01XX35,atc,L01XX35,document_atc,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,7,Anagrelid,anagrelid,name,,document_name,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,8,L01XX35,L01XX35,atc,L01XX35,document_atc,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,8,Anagrelid,anagrelid,name,,document_name,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,9,"Anagrelide AOP Kapsel, hard 0,5 mg",anagrelide,name,,document_name,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,9,L01XX35,L01XX35,atc,L01XX35,document_atc,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,9,Anagrelid,anagrelid,name,,document_name,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,10,"Anagrelide sandoz kaps 0,5mg",anagrelide,name,,document_name,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,10,L01XX35,L01XX35,atc,L01XX35,document_atc,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 2 Prisskjema.xlsx,price_schedule,Prisskjema,10,Anagrelid,anagrelid,name,,document_name,true,true,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid.xlsx,requirements_specification,1. Innhold,1,2507gj-1 Kravspesifikasjon Bilag 3 Anagrelid,anagrelid,name,,document_name,false,false,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid.xlsx,requirements_specification,3. Anskaffelsen,6,2507gj-1 Anagrelid Bilag 3,anagrelid,name,,document_name,true,false,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid.xlsx,requirements_specification,3. Anskaffelsen,8,L01XX35,L01XX35,atc,L01XX35,document_atc,true,false,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid.xlsx,requirements_specification,3. Anskaffelsen,8,Anagrelid,anagrelid,name,,document_name,true,false,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid.xlsx,requirements_specification,4. Krav overordnet nivå,3,2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid,anagrelid,name,,document_name,false,false,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid.xlsx,requirements_specification,5. Krav til prod.,3,2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid,anagrelid,name,,document_name,true,false,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid.xlsx,requirements_specification,5. Krav til prod.,21,L01XX35,L01XX35,atc,L01XX35,document_atc,true,false,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid.xlsx,requirements_specification,5. Krav til prod.,22,Anagrelid,anagrelid,name,,document_name,true,false,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid.xlsx,requirements_specification,5. Krav til prod.,35,Krav for Anagrelid,anagrelid,name,,document_name,true,false,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid.xlsx,requirements_specification,Lister,7,Anagrelid,anagrelid,name,,document_name,true,false,
Anagrelide,Anagrelide__2507gj-1/2507gj-1 Bilag 3 Kravspesifikasjon Anagrelid.xlsx,requirements_specification,Lister,9,Anagrelid,anagrelid,name,,document_name,true,false,
Paliperidone,Paliperidone__LIS_2301d/2301d Vedlegg 02 Kravspesifikasjon versj3.xlsx,requirements_specification,3. Anskaffelsen,94,N05AX13,N05AX13,atc,N05AX13,document_atc,true,false,
Paliperidone,Paliperidone__LIS_2301d/2301d Vedlegg 02 Kravspesifikasjon versj3.xlsx,requirements_specification,3. Anskaffelsen,94,Paliperidon,paliperidon,name,,document_name,true,false,
Paliperidone,Paliperidone__LIS_2301d/2301d Vedlegg 03 Prisskjema legem versj1.xlsx,price_schedule,Prisskjema,425,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__LIS_2301d/2301d Vedlegg 03 Prisskjema legem versj1.xlsx,price_schedule,Prisskjema,425,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__LIS_2301d/2301d Vedlegg 03 Prisskjema legem versj1.xlsx,price_schedule,Prisskjema,426,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__LIS_2301d/2301d Vedlegg 03 Prisskjema legem versj1.xlsx,price_schedule,Prisskjema,426,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Forside,15,2601c paliperidon,paliperidon,name,,document_name,false,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,5,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,5,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,6,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,6,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,7,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,7,Paliperidon,paliperidon,name,,document_name,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,8,N05AX13,N05AX13,atc,N05AX13,document_atc,true,true,
Paliperidone,Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,price_schedule,Prisskjema,8,Paliperidon,paliperidon,name,,document_name,true,true,
