targetMolecule,queryUsed,noticeId,tenderRef,title,buyer,publicationDate,lifecycleStage,noticeUrl,documentUrls,procedureKey,evidenceLevel,exactMatchedText,evidenceLocation,hasDirectMoleculeName,hasDirectAtc,hasDocumentLinks,likelyLanguageDuplicate,likelyLifecycleRelated,canonicalProcedureCandidate,requiresDocumentConfirmation,originalDecision,auditedDecision,auditReason,possibleDuplicateOf
Lenalidomide,tender_ref:LIS 2234,147880-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-03-24,prior_information,https://ted.europa.eu/en/notice/-/detail/147880-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,tender_ref:LIS 2234,48506-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-01-29,prior_information,https://ted.europa.eu/en/notice/-/detail/48506-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+tender:Sykehusinnkjøp HF,335380-2021,2021/118,LIS 2234 Lenalidomide,Sykehusinnkjøp HF,2021-07-02,award,https://ted.europa.eu/en/notice/-/detail/335380-2021,,LIS2234,document_name,Lenalidomide,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+tender:Sykehusinnkjøp HF,147880-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-03-24,prior_information,https://ted.europa.eu/en/notice/-/detail/147880-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+tender:Sykehusinnkjøp HF,48506-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-01-29,prior_information,https://ted.europa.eu/en/notice/-/detail/48506-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+tender:Sykehusinnkjøp,335380-2021,2021/118,LIS 2234 Lenalidomide,Sykehusinnkjøp HF,2021-07-02,award,https://ted.europa.eu/en/notice/-/detail/335380-2021,,LIS2234,document_name,Lenalidomide,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+tender:Sykehusinnkjøp,147880-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-03-24,prior_information,https://ted.europa.eu/en/notice/-/detail/147880-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+tender:Sykehusinnkjøp,48506-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-01-29,prior_information,https://ted.europa.eu/en/notice/-/detail/48506-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+tender:Sykehusinnkjop HF,335380-2021,2021/118,LIS 2234 Lenalidomide,Sykehusinnkjøp HF,2021-07-02,award,https://ted.europa.eu/en/notice/-/detail/335380-2021,,LIS2234,document_name,Lenalidomide,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+tender:Sykehusinnkjop HF,147880-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-03-24,prior_information,https://ted.europa.eu/en/notice/-/detail/147880-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+tender:Sykehusinnkjop HF,48506-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-01-29,prior_information,https://ted.europa.eu/en/notice/-/detail/48506-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+tender:Sykehusinnkjop,335380-2021,2021/118,LIS 2234 Lenalidomide,Sykehusinnkjøp HF,2021-07-02,award,https://ted.europa.eu/en/notice/-/detail/335380-2021,,LIS2234,document_name,Lenalidomide,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+tender:Sykehusinnkjop,147880-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-03-24,prior_information,https://ted.europa.eu/en/notice/-/detail/147880-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
Lenalidomide,buyer+tender:Sykehusinnkjop,48506-2021,2021/118,LIS 2234 Lenalidomid Prior Information Notice,Sykehusinnkjøp HF,2021-01-29,prior_information,https://ted.europa.eu/en/notice/-/detail/48506-2021,,LIS2234,document_name,Lenalidomid,document_xml,True,False,False,True,True,False,False,accepted,needs_review,Non-canonical duplicate within procedure; prefer 300984-2021,300984-2021
