noticeId,tenderRef,title,country,buyer,productMolecule,moleculeDetected,moleculeVariant,detectionMethod,atcCode,itemNumber,productName,strength,packSize,supplier,maxPrice,packsSoldLast12m,estimatedValue,awardedValue,awardedSupplier,currency,noticeType,status,publicationDate,contractStart,procedureType,sourceDocument,sourceUrl
300984-2021,LIS 2234,LIS 2234 Lenalidomide,NO,Sykehusinnkjøp HF,Lenalidomide,True,Lenalidomid,name_in_document,L04AX04,540958,"Revlimid kaps  2,5mg",2.5 mg,21.0,Celgene AS,,56.0,,,,NOK,3,,2021-06-15,2022-03-01,1,LIS 2234 Vedlegg 03 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/300984-2021
404973-2025,2025/50837,2632a Everolimus og mykofenolsyre (enterotablett),NO,Sykehusinnkjøp HF,Everolimus,True,Everolimus,name_in_document,L04AH02,14884,"Certican disperg tab 0,1mg",0.1 mg,60.0,Novartis Norge AS,492.07,,,,,NOK,cn-standard,,,2026-03-31,,2632a Bilag 2 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/404973-2025
404973-2025,2025/50837,2632a Everolimus og mykofenolsyre (enterotablett),NO,Sykehusinnkjøp HF,Everolimus,True,Everolimus,name_in_document,L04AH02,14917,"Certican disperg tab 0,25mg",0.25 mg,60.0,Novartis Norge AS,1017.61,,,,,NOK,cn-standard,,,2026-03-31,,2632a Bilag 2 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/404973-2025
404973-2025,2025/50837,2632a Everolimus og mykofenolsyre (enterotablett),NO,Sykehusinnkjøp HF,Everolimus,True,Everolimus,name_in_document,L04AH02,14847,"Certican tab 0,25mg",0.25 mg,60.0,Novartis Norge AS,1017.61,,,,,NOK,cn-standard,,,2026-03-31,,2632a Bilag 2 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/404973-2025
404973-2025,2025/50837,2632a Everolimus og mykofenolsyre (enterotablett),NO,Sykehusinnkjøp HF,Everolimus,True,Everolimus,name_in_document,L04AH02,14859,"Certican tab 0,5mg",0.5 mg,60.0,Novartis Norge AS,2028.9,,,,,NOK,cn-standard,,,2026-03-31,,2632a Bilag 2 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/404973-2025
404973-2025,2025/50837,2632a Everolimus og mykofenolsyre (enterotablett),NO,Sykehusinnkjøp HF,Everolimus,True,Everolimus,name_in_document,L04AH02,14853,"Certican tab 0,75mg",0.75 mg,60.0,Novartis Norge AS,3070.93,,,,,NOK,cn-standard,,,2026-03-31,,2632a Bilag 2 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/404973-2025
404973-2025,2025/50837,2632a Everolimus og mykofenolsyre (enterotablett),NO,Sykehusinnkjøp HF,Everolimus,True,Everolimus,name_in_document,L04AH02,14946,Certican tab 1mg,1 mg,60.0,Novartis Norge AS,4057.8,,,,,NOK,cn-standard,,,2026-03-31,,2632a Bilag 2 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/404973-2025
244859-2024,2507gj-1,2507gj-1 anagrelid,NO,Sykehusinnkjøp HF,Anagrelide,True,Anagrelide,name_in_document,L01XX35,560023,"Anagrelide bluefish kaps 0,5mg",0.5 mg,100.0,Bluefish Pharmaceuticals AB,4102.51,,,,,NOK,cn-standard,,,2025-04-01,,2507gj-1 Bilag 2 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/244859-2024
244859-2024,2507gj-1,2507gj-1 anagrelid,NO,Sykehusinnkjøp HF,Anagrelide,True,Anagrelide,name_in_document,L01XX35,191597,"Anagrelide sandoz kaps 0,5mg",0.5 mg,100.0,Sandoz A/S,,,,,,NOK,cn-standard,,,2025-04-01,,2507gj-1 Bilag 2 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/244859-2024
244859-2024,2507gj-1,2507gj-1 anagrelid,NO,Sykehusinnkjøp HF,Anagrelide,True,Anagrelid,name_in_document,L01XX35,21999,"Xagrid kaps 0,5mg",0.5 mg,100.0,Takeda AS,4102.51,,,,,NOK,cn-standard,,,2025-04-01,,2507gj-1 Bilag 2 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/244859-2024
244859-2024,2507gj-1,2507gj-1 anagrelid,NO,Sykehusinnkjøp HF,Anagrelide,True,Anagrelid,name_in_document,L01XX35,39496,"Xagrid Kapsel, hard 0,5 mg",0.5 mg,0.0,,4102.51,,,,,NOK,cn-standard,,,2025-04-01,,2507gj-1 Bilag 2 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/244859-2024
244859-2024,2507gj-1,2507gj-1 anagrelid,NO,Sykehusinnkjøp HF,Anagrelide,True,Anagrelide,name_in_document,L01XX35,110090,"Anagrelide AOP Kapsel, hard 0,5 mg",0.5 mg,100.0,,,,,,,NOK,cn-standard,,,2025-04-01,,2507gj-1 Bilag 2 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/244859-2024
244859-2024,2507gj-1,2507gj-1 anagrelid,NO,Sykehusinnkjøp HF,Anagrelide,True,Anagrelide,name_in_document,L01XX35,290239,"Anagrelide sandoz kaps 0,5mg",0.5 mg,100.0,Sandoz A/S,,,,,,NOK,cn-standard,,,2025-04-01,,2507gj-1 Bilag 2 Prisskjema.xlsx,https://ted.europa.eu/en/notice/-/detail/244859-2024
682047-2022,2022/227,"Voluntary ex-ante transparency notice - Supplementary contracts for LIS 2301d ureg, ATC codes J05AF01, N05AX13, N05CD08, P01CX04, S01AX18, S01EE09 and V03AB13",NO,SYKEHUSINNKJØP HF,Paliperidone,True,Paliperidon,name_in_document,N05AX13,214209,"Xeplion Depotinjeksjonsvæske, suspensjon 25 mg/sprøyte",25 mg,,Grossister vgr 6,,50.0,,,,NOK,V,,2022-12-08,,V,2301d Vedlegg 03 Prisskjema legem versj1.xlsx,https://ted.europa.eu/en/notice/-/detail/682047-2022
