localFile,sheet,sourceRow,targetMolecule,itemNumber,productName,rawStrength,rawPackDescription,dosageForm,gtin,rawSupplier,rawAtc,rawMolecule,volumeRaw,volumePeriodLabel,volumePeriodStart,volumePeriodEnd,priceType,maxPriceRaw,offeredGip,parserWarnings,matchedTerm,evidenceLevel,detectionMethod,volumeIsTwelveMonths,volumeInterpretationWarning,volumeEvidence,maxPriceSource,maxPriceEffectiveDate,tenderDocumentMaxAip,dmpMaxAip,priceDifference,priceDifferencePct,dmpJoinOutcome,dmpTemporalWarning,supplierExportDecision,supplierRejectionReason,packSizeValidityDecision,packSizeExportWarning,rawNoticeType,rawProcedureType
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,10,Paliperidone,307903,Xeplion depotinj  75mg/spr,75mg/spr,1,,,Janssen-Cilag AS,N05AX13,Paliperidon,74,Solgte pakninger siste 12 mnd (Pakningssalg),,,,,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,,,,,,,no_item_match,,exported,,valid,,cn-standard,open
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,11,Paliperidone,412581,Xeplion depotinj  75mg/spr,75mg/spr,1,,,Janssen-Cilag AS,N05AX13,Paliperidon,657,Solgte pakninger siste 12 mnd (Pakningssalg),,,max_aip,1582.91,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,tender_document,,1582.91,1582.91,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,12,Paliperidone,220132,Xeplion depotinj 100mg/spr,100mg/spr,1,,,Janssen-Cilag AS,N05AX13,Paliperidon,323,Solgte pakninger siste 12 mnd (Pakningssalg),,,,,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,,,,,,,no_item_match,,exported,,valid,,cn-standard,open
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,13,Paliperidone,409745,Xeplion depotinj 100mg/spr,100mg/spr,1,,,Janssen-Cilag AS,N05AX13,Paliperidon,874,Solgte pakninger siste 12 mnd (Pakningssalg),,,max_aip,1967.77,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,tender_document,,1967.77,1967.77,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,14,Paliperidone,343892,Xeplion depotinj 150mg/spr,150mg/spr,1,,,Janssen-Cilag AS,N05AX13,Paliperidon,0,Solgte pakninger siste 12 mnd (Pakningssalg),,,,,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,,,,,,,no_item_match,,exported,,valid,,cn-standard,open
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,15,Paliperidone,536460,Xeplion depotinj 150mg/spr,150mg/spr,1,,,Janssen-Cilag AS,N05AX13,Paliperidon,1381,Solgte pakninger siste 12 mnd (Pakningssalg),,,max_aip,2749.81,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,tender_document,,2749.81,2749.81,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,16,Paliperidone,445725,Xeplion ori depotinj 150mg/spr,150mg/spr,1,,,Orifarm AS,N05AX13,Paliperidon,0,Solgte pakninger siste 12 mnd (Pakningssalg),,,max_aip,2749.81,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,tender_document,,2749.81,2749.81,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,17,Paliperidone,536742,Paliperidon zen depinj  50mg,50mg/spr,1,,,Zentiva Denmark ApS,N05AX13,Paliperidon,0,Solgte pakninger siste 12 mnd (Pakningssalg),,,max_aip,1237.43,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,tender_document,,1237.43,1237.43,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,18,Paliperidone,549759,Paliperidon zen depinj  75mg,75mg/spr,1,,,Zentiva Denmark ApS,N05AX13,Paliperidon,0,Solgte pakninger siste 12 mnd (Pakningssalg),,,max_aip,1582.91,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,tender_document,,1582.91,1582.91,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
Paliperidone__2601c/2601c_Bilag_2_Prisskjema.xlsx,Prisskjema,19,Paliperidone,47538,Paliperidon zen depinj 100mg,100mg/spr,1,,,Zentiva Denmark ApS,N05AX13,Paliperidon,0,Solgte pakninger siste 12 mnd (Pakningssalg),,,max_aip,1967.77,,,paliperidon,document_name_and_atc,name_in_document,true,Column labelled 'Pakningssalg' with sub-header 'Solgte pakninger siste 12 mnd'; Veiledning states volumes from Sykehusapotekenes legemiddelstatistikk without calendar dates.,2601c_Bilag_2_Prisskjema.xlsx: Veiledning row 9 'Antall pakninger er hentet fra Sykehusapotekenes legemiddelstatistikk'; Prisskjema row 3 'Solgte pakninger siste 12 mnd'; header row 4 'Pakningssalg'.,tender_document,,1967.77,1967.77,0.0,0.0,exact_validated,,exported,,valid,,cn-standard,open
